cus_name,product_id,product_description,zone,aisle,rack,level
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E01 , 01 , C4 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E01 , 02 , B3 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E01 , 04 , B3 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E01 , 07 , C1 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E01 ,10, D1 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E01 ,10, D3 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E01 ,13, B4 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E01 ,41, B4 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E01 ,43, B4 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E02 , 02 , B1 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E02 ,38, B3 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E02 ,38, B4 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E02 ,39, B4 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E02 ,40, B1 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E02 ,40, B3 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E02 ,41, B1 
 Resideo,WV4462C1005/P,RHEEM  WATER HEATER VALVE NG POLYMER WEL ,East , E02 ,41, B3 
