cus_name,product_id,product_description,zone,aisle,rack,level
 Resideo,WV8860C1015/P,ULN VALVE ,East , E01 , 07 , B2 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E02 ,38, A4 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E03 , 09 , D1 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E03 ,22, A4 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E03 ,45, D3 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 , 02 , C2 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,18, A3 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,20, B1 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,22, B1 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,22, B3 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,23, A4 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,27, B2 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,27, B3 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,27, B4 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,28, A4 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,32, B2 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,33, A4 
 Resideo,WV8860C1015/P,ULN VALVE ,East , E04 ,34, A4 
