cus_name,product_id,product_description,zone,aisle,rack,level
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E01 ,19, D1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E01 ,33, D2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E01 ,34, D1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E02 ,26, D4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E02 ,27, B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E02 ,27, C4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E02 ,27, D2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E02 ,28, B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E02 ,28, B4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E02 ,28, C4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 , 06 , B4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,10, D2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,11, A2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,11, C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,11, C3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,11, D2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,11, D4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,13, B1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,16, D1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,16, D3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,19, B2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,40, A2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,41, A2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,42, D1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,42, D3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,43, C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,43, C2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,46, A4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 , 01 , C2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 , 01 , C3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 , 01 , C4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 , 01 , D4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 , 03 , C4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 , 05 , B2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 , 05 , C3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 , 06 , C3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 , 06 , C4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,11, A2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,12, A4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,16, A2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,16, C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,17, C2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,18, B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,21, B1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,21, B2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,23, A2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,23, C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,24, B2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,24, B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,25, B1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,26, B1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,28, B2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,30, A3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,35, A2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,35, B4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,36, B1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,37, B4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,38, B4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,39, B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,40, B2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,40, B4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,41, A2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,41, B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,42, B1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,42, B2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,42, B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,43, B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E05 ,27, C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E05 ,27, C2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 , 03 , C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 , 04 , C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 , 05 , C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 , 09 , E1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 ,10, E1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 ,10, E2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 ,12, C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 ,12, E2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 ,13, E1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 ,13, E2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 ,14, C1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 ,19, E1 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,West , 03 ,12, D4 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,West , 05 ,29, C2 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,West , 05 ,30, B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,West , 06 , 04 , B3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,West , 06 , 04 , C3 
 Resideo,WV8840C1605/P,WATER HEATER GAS VALVE FOR RHEEM ,West , 06 , 04 , D1 
