Product ID,Description,Unit ID,Zone,Aisle ,Rack,Level,ContainerType,Number ofContainers,LoosePieces,On Hand,Marked,Available
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107144,BLK , BLK , STO ,21,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107145,BLK , BLK , STO ,22,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107146,BLK , BLK , STO ,71,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107147,BLK , BLK , STO ,74,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107148,BLK , BLK , STO ,77,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107149,BLK , BLK , STO ,80,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107150,BLK , BLK , STO ,82,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107151,BLK , BLK , STO ,83,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107152,BLK , BLK , STO ,85,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107153,BLK , BLK , STO ,87,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107154,BLK , BLK , STO ,89,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107155,BLK , BLK , STO ,112,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107156,BLK , BLK , STO ,138,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",98402,BLK , BLK , STO ,258,Carton,0,200,200,0,0
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",103831,BLK , BLK , STO ,669,Carton,0,200,200,0,0
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105911,East , E01 ,1, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106138,East , E01 ,1, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104301,East , E01 ,2, A3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108830,East , E01 ,7, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106137,East , E01 ,8, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106722,East , E01 ,8, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106136,East , E01 ,8, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106416,East , E01 ,10, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108826,East , E01 ,11, B2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106417,East , E01 ,11, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106418,East , E01 ,12, C3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106419,East , E01 ,13, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106420,East , E01 ,13, C3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106421,East , E01 ,13, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106422,East , E01 ,14, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106423,East , E01 ,18, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108014,East , E01 ,23, A4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104303,East , E01 ,27, A3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107457,East , E01 ,28, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105552,East , E01 ,29, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105553,East , E01 ,34, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105555,East , E01 ,35, C1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105554,East , E01 ,35, C3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106402,East , E01 ,36, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105558,East , E01 ,36, C1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105557,East , E01 ,36, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105556,East , E01 ,36, C3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105559,East , E01 ,37, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106403,East , E01 ,38, B4 ,Carton,0,300,300,0,300
